Index,Point ID,Value
1,1000001,4160
2,1000002,160
3,1000003,110
4,1000004,120
5,1000005,90
6,1000006,120
7,1000007,90
8,1000008,170
9,1000009,125
10,1000010,230
11,1000011,132
12,1000012,128
13,1000013,86
14,1000014,385
15,1000015,220
16,1000016,385
17,1000017,220
18,1000018,385
19,1000019,220
20,1000020,485
21,1000021,190
22,1000022,68
23,1000023,60
24,1000024,290
25,1000025,212
26,1000026,170
27,1000027,151
28,1000028,170
29,1000029,80
30,1000030,0
31,1000031,0
32,1000032,0
33,1000033,0
34,1000034,0
35,1000035,0
36,1000036,0
37,1000037,0
38,1000038,0
39,1000039,0
40,1000040,0
41,1000041,0
42,1000042,0
43,1000043,0
44,1000044,0
45,1000045,0
46,1000046,0
47,1000047,0
48,1000048,0
49,1000049,0
50,1000050,0
51,1000051,0