尺寸,绞线,材料,直径_cm,几何平均半径_m,阻值_欧_per_km,容量_A
1,, 钢芯铝绞线,0.9017,0.001274064,0.857494377,200  
1,7 STRD,铜,0.83312,0.003023616,0.475350144,270  
1,CLASS A,铝合金,0.83312,0.003020568,0.76056023,177  
2,6/1,钢芯铝绞线,0.80264,0.001274064,1.050119925,180  
2,7 STRD,铜,0.74168,0.002691384,0.599003318,230  
2,7/1,钢芯铝绞线,0.8255,0.001536192,1.025265015,180  
2,AWG SLD,铜,0.65532,0.002548128,0.587197236,220  
2,CLASS A,铝合金,0.74168,0.002691384,0.957535387,156  
3,6/1,钢芯铝绞线,0.71374,0.00131064,1.286241565,160  
3,AWG SLD,铜,0.58166,0.00227076,0.740676302,190  
4,6/1,钢芯铝绞线,0.635,0.001331976,1.596927933,140  
4,7/1,钢芯铝绞线,0.65278,0.001377696,1.584500478,140  
4,AWG SLD,铜,0.51816,0.002020824,0.933923223,170  
4,CLASS A,铝合金,0.58928,0.0021336,1.524227323,90  
5,6/1,钢芯铝绞线,0.56642,0.001267968,1.975965303,120  
5,AWG SLD,铜,0.462026,0.00179832,1.177501336,140  
6,6/1,钢芯铝绞线,0.50292,0.001200912,2.473063492,100  
6,AWG SLD,铜,0.41148,0.001603248,1.485080841,120  
6,CLASS A,铝合金,0.46736,0.00169164,2.425217791,65  
7,AWG SLD,铜,0.366522,0.001426464,1.870331937,110  
8,AWG SLD,铜,0.32639,0.001267968,2.361216399,90  
9,AWG SLD,铜,0.290576,0.001130808,2.905414642,80  
10,AWG SLD,铜,0.258826,0.00100584,3.667714715,75  
12,AWG SLD,铜,0.205232,0.000798576,5.825182994,40  
14,AWG SLD,铜,0.162814,0.000633984,9.241179614,20  
16,AWG SLD,铜,0.129032,0.000499872,14.74281382,10  
18,AWG SLD,铜,0.102362,0.00039624,23.40872656,5  
19,AWG SLD,铜,0.091186,0.000353568,29.52160513,4  
20,AWG SLD,铜,0.08128,0.000313944,37.08601041,3  
22,AWG SLD,铜,0.064262,0.000249936,59.3308437,2  
24,AWG SLD,铜,0.051054,0.00019812,94.21004884,1  
1/0,, 钢芯铝绞线,1.01092,0.001359408,0.695937465,230  
1/0,7 STRD,铜,0.93472,0.003392424,0.377173251,310  
1/0,CLASS A,铝合金,0.93472,0.00338328,0.602731555,202  
2/0,, 钢芯铝绞线,1.13538,0.00155448,0.556128599,270  
2/0,7 STRD,铜,1.05156,0.003816096,0.298880286,360  
2/0,CLASS A,铝合金,1.05156,0.00381,0.477835634,230  
3/0,12 STRD,铜,1.24968,0.004751832,0.237364385,420  
3/0,6/1,钢芯铝绞线,1.27508,0.0018288,0.449252489,300  
3/0,7 STRD,铜,1.17856,0.004279392,0.237364385,420  
3/0,CLASS A,铝合金,1.17856,0.0042672,0.379658742,263  
3/8,INCH STE,AAteel,0.9525,0.000003048,2.671902768,150  
4/0,12 STRD,铜,1.40208,0.005334,0.188275939,490  
4/0,19 STRD,铜,1.34112,0.005084064,0.188275939,480  
4/0,6/1,钢芯铝绞线,1.43002,0.002481072,0.36785266,340  
4/0,7 STRD,铜,1.32588,0.004812792,0.188275939,480  
4/0,CLASS A,铝合金,1.32588,0.00481584,0.300744405,299  
250000,12 STRD,铜,1.524,0.005797296,0.159692793,540  
250000,19 STRD,铜,1.45796,0.005526024,0.159692793,540  
250000,CON LAY,铝合金,1.44018,0.00521208,0.254762822,329  
266800,26/7,钢芯铝绞线,1.63068,0.00661416,0.239228504,460  
266800,CLASS A,铝合金,1.48844,0.00539496,0.238607131,320  
300000,12 STRD,铜,1.66878,0.00633984,0.133595138,610  
300000,19 STRD,铜,1.59766,0.006056376,0.133595138,610  
300000,26/7,钢芯铝绞线,1.7272,0.0070104,0.212509476,490  
300000,30/7,钢芯铝绞线,1.778,0.00734568,0.212509476,500  
300000,CON LAY,铝合金,1.59766,0.00603504,0.212509476,350  
336/400,26/7,钢芯铝绞线,1.83134,0.00743712,0.190140057,530
336400,30/7,钢芯铝绞线,1.88214,0.0077724,0.190140057,530  
336400,CLASS A,铝合金,1.69164,0.0064008,0.189518685,410  
350000,12 STRD,铜,1.8034,0.006858,0.11464327,670  
350000,19 STRD,铜,1.72466,0.00652272,0.11464327,670  
350000,CON LAY,铝合金,1.72466,0.00652272,0.182683585,399  
397500,26/7,钢芯铝绞线,1.98882,0.0080772,0.160935539,590  
397500,30/7,钢芯铝绞线,2.04724,0.00847344,0.160935539,600  
397500,CLASS A,铝合金,1.83896,0.00694944,0.160314166,440  
400000,19 STRD,铜,1.84404,0.00697992,0.100600246,730  
450000,19 STRD,铜,1.9558,0.00740664,0.089664086,780  
450000,CON LAG,铝合金,1.9558,0.00740664,0.142294357,450  
477000,26/7,钢芯铝绞线,2.17932,0.0088392,0.134216511,670  
477000,30/7,钢芯铝绞线,2.24282,0.00926592,0.134216511,670  
477000,CLASS A,铝合金,2.0193,0.00774192,0.134216511,510  
500000,19 STRD,铜,2.05994,0.00780288,0.080964868,840  
500000,37 STRD,铜,2.06756,0.0079248,0.080964868,840  
500000,CON LAY,铝合金,2.06502,0.0079248,0.128002784,483  
556500,26/7,钢芯铝绞线,2.35458,0.00954024,0.115513192,730  
556500,30/7,钢芯铝绞线,2.42062,0.00999744,0.115513192,730  
556500,CLASS A,铝合金,2.17932,0.008382,0.115575329,560  
600000,37 STRD,铜,2.26314,0.0086868,0.068040315,940  
600000,CON LAY,铝合金,2.26314,0.0086868,0.106876111,520  
605000,26/7,钢芯铝绞线,2.45364,0.00996696,0.106876111,760  
605000,54/7,钢芯铝绞线,2.42062,0.00978408,0.110293661,750  
636000,27/7,钢芯铝绞线,2.5146,0.0102108,0.100538109,780  
636000,30/19,钢芯铝绞线,2.58826,0.01069848,0.100538109,780  
636000,54/19,钢芯铝绞线,2.48158,0.01002792,0.104887718,770  
636000,CLASS A,铝合金,2.33172,0.00896112,0.101283756,620  
666600,54/7,钢芯铝绞线,2.54,0.01027176,0.099481775,800  
700000,37 STRD,铜,2.44602,0.00938784,0.058843998,1040  
700000,CON LAY,铝合金,2.44602,0.00938784,0.091963165,580  
715500,26/7,钢芯铝绞线,2.66954,0.0108204,0.089601949,840  
715500,30/19,钢芯铝绞线,2.74574,0.01133856,0.089601949,840  
715500,54/7,钢芯铝绞线,2.63144,0.01063752,0.09208744,830  
715500,CLASS A,铝合金,2.47396,0.00950976,0.090099047,680  
750000,37 STRD,铝合金,2.53238,0.00972312,0.055177899,1090  
750000,CON LAY,铝合金,2.53238,0.00972312,0.08637081,602  
795000,26/7,钢芯铝绞线,2.81432,0.01143,0.080032808,900  
795000,30/19,钢芯铝绞线,2.8956,0.01197864,0.080032808,910  
795000,54/7,钢芯铝绞线,2.77622,0.01121664,0.085625163,900  
795000,CLASS A,铝合金,2.60604,0.00999744,0.081399829,720  