序号,测点号,名称,别名,是否离散,是否计算点,计算公式,变换公式,逆变换公式,变化公式,判零公式,单位,上限值,下限值,告警判据1,告警判据2,是否实时点,是否SOE,默认值,标签,备注
1,1100000,储能1_通道状态,ES1_tongxin_state,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
2,1100001,储能1故障综合,ES1_guzhang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-故障，0-正常
3,1100002,储能1告警综合,ES1_gaojing,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-故障，1-正常
4,1100003,储能1启停状态,ES1_state_qiting,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
5,1100004,储能1并网状态,ES1_state_bingwang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
6,1100005,储能1离网状态,ES1_state_liwang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
7,1100006,储能1DC充电中,ES1_state_charging,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
8,1100007,储能1DC放电中,ES1_state_discharging,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
9,1100008,储能1模块端口AB线电压,ES1_Uab,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
10,1100009,储能1模块端口BC线电压,ES1_Ubc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
11,1100010,储能1模块端口CA线电压,ES1_Uca,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
12,1100011,储能1A相输出电流,ES1_Ia,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
13,1100012,储能1B相输出电流,ES1_Ib,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
14,1100013,储能1C相输出电流,ES1_Ic,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
15,1100014,储能1电网频率,ES1_f,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
16,1100015,储能1A相有功功率,ES1_Pa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
17,1100016,储能1B相有功功率,ES1_Pb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
18,1100017,储能1C相有功功率,ES1_Pc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
19,1100018,储能1A相无功功率,ES1_Qa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
20,1100019,储能1B相无功功率,ES1_Qb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
21,1100020,储能1C相无功功率,ES1_Qc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
22,1100021,储能1A相视在功率,ES1_Sa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
23,1100022,储能1B相视在功率,ES1_Sb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
24,1100023,储能1C相视在功率,ES1_Sc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
25,1100024,储能1A相功率因数,ES1_PFa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
26,1100025,储能1B相功率因数,ES1_PFb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
27,1100026,储能1C相功率因数,ES1_PFc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
28,1100027,储能1三相总有功功率,ES1_P_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
29,1100028,储能1三相总无功功率,ES1_Q_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
30,1100029,储能1三相总视在功率,ES1_S_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
31,1100030,储能1三相总功率因数,ES1_PF_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
32,1100031,储能1有功功率期望值,ES1_P_qiwang,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
33,1100032,储能1无功功率期望值,ES1_Q_qiwang,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
34,1100033,储能1系统充放电状态,ES1_state_chongfangdian,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-静置，1-放电，2-充电
35,1100034,储能1系统总电压,ES1_U_zong,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
36,1100035,储能1系统总电流,ES1_I_zong,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,充电为负值，放电为正值
37,1100036,储能1系统SOC,ES1_SOC,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
38,1100037,储能1系统SOH,ES1_SOH,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
39,1100038,储能1系统最高电池电压,ES1_U_max,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
40,1100039,储能1系统最低电池电压,ES1_U_min,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
41,1100040,储能1系统平均电压,ES1_U_average,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
42,1100041,储能1系统最高电池温度,ES1_T_max,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
43,1100042,储能1系统最低电池温度,ES1_T_min,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
44,1100043,储能1系统平均温度,ES1_T_average,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
45,1100044,储能1Rack电池总电压,ES1_U_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
46,1100045,储能1Rack电池总电流,ES1_I_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
47,1100046,储能1Rack充放电指示,ES1_state_rack,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-静置，1-放电，2-充电
48,1100047,储能1Rack SOC,ES1_SOC_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
49,1100048,储能1Rack SOH,ES1_SOH_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
50,1100049,储能1手动模式ctrl,ES1_ctrl,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-关机，1-开机
51,1100050,储能1手动模式workModel,ES1_workModel,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-离网模式，1-并网模式
52,1100051,储能1手动模式activePower,ES1_activePower,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,有功功率设置，单位：kW
53,1100052,储能1手动模式reactivePower,ES1_reactivePower,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,无功功率设置，单位：kVar
54,1200000,储能2_通道状态,ES2_tongxin_state,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
55,1200001,储能2故障综合,ES2_guzhang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-故障，0-正常
56,1200002,储能2告警综合,ES2_gaojing,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-故障，1-正常
57,1200003,储能2启停状态,ES2_state_qiting,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
58,1200004,储能2并网状态,ES2_state_bingwang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
59,1200005,储能2离网状态,ES2_state_liwang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
60,1200006,储能2DC充电中,ES2_state_charging,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
61,1200007,储能2DC放电中,ES2_state_discharging,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
62,1200008,储能2模块端口AB线电压,ES2_Uab,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
63,1200009,储能2模块端口BC线电压,ES2_Ubc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
64,1200010,储能2模块端口CA线电压,ES2_Uca,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
65,1200011,储能2A相输出电流,ES2_Ia,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
66,1200012,储能2B相输出电流,ES2_Ib,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
67,1200013,储能2C相输出电流,ES2_Ic,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
68,1200014,储能2电网频率,ES2_f,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
69,1200015,储能2A相有功功率,ES2_Pa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
70,1200016,储能2B相有功功率,ES2_Pb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
71,1200017,储能2C相有功功率,ES2_Pc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
72,1200018,储能2A相无功功率,ES2_Qa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
73,1200019,储能2B相无功功率,ES2_Qb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
74,1200020,储能2C相无功功率,ES2_Qc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
75,1200021,储能2A相视在功率,ES2_Sa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
76,1200022,储能2B相视在功率,ES2_Sb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
77,1200023,储能2C相视在功率,ES2_Sc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
78,1200024,储能2A相功率因数,ES2_PFa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
79,1200025,储能2B相功率因数,ES2_PFb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
80,1200026,储能2C相功率因数,ES2_PFc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
81,1200027,储能2三相总有功功率,ES2_P_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
82,1200028,储能2三相总无功功率,ES2_Q_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
83,1200029,储能2三相总视在功率,ES2_S_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
84,1200030,储能2三相总功率因数,ES2_PF_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
85,1200031,储能2有功功率期望值,ES2_P_qiwang,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
86,1200032,储能2无功功率期望值,ES2_Q_qiwang,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
87,1200033,储能2系统充放电状态,ES2_state_chongfangdian,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-静置，1-放电，2-充电
88,1200034,储能2系统总电压,ES2_U_zong,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
89,1200035,储能2系统总电流,ES2_I_zong,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,充电为负值，放电为正值
90,1200036,储能2系统SOC,ES2_SOC,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
91,1200037,储能2系统SOH,ES2_SOH,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
92,1200038,储能2系统最高电池电压,ES2_U_max,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
93,1200039,储能2系统最低电池电压,ES2_U_min,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
94,1200040,储能2系统平均电压,ES2_U_average,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
95,1200041,储能2系统最高电池温度,ES2_T_max,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
96,1200042,储能2系统最低电池温度,ES2_T_min,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
97,1200043,储能2系统平均温度,ES2_T_average,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
98,1200044,储能2Rack电池总电压,ES2_U_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
99,1200045,储能2Rack电池总电流,ES2_I_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
100,1200046,储能2Rack充放电指示,ES2_state_rack,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-静置，1-放电，2-充电
101,1200047,储能2Rack SOC,ES2_SOC_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
102,1200048,储能2Rack SOH,ES2_SOH_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
103,1200049,储能2手动模式ctrl,ES2_ctrl,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-关机，1-开机
104,1200050,储能2手动模式workModel,ES2_workModel,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-离网模式，1-并网模式
105,1200051,储能2手动模式activePower,ES2_activePower,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,有功功率设置，单位：kW
106,1200052,储能2手动模式reactivePower,ES2_reactivePower,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,无功功率设置，单位：kVar
107,1300000,储能3_通道状态,ES3_tongxin_state,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
108,1300001,储能3故障综合,ES3_guzhang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-故障，0-正常
109,1300002,储能3告警综合,ES3_gaojing,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-故障，1-正常
110,1300003,储能3启停状态,ES3_state_qiting,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
111,1300004,储能3并网状态,ES3_state_bingwang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
112,1300005,储能3离网状态,ES3_state_liwang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
113,1300006,储能3DC充电中,ES3_state_charging,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
114,1300007,储能3DC放电中,ES3_state_discharging,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
115,1300008,储能3模块端口AB线电压,ES3_Uab,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
116,1300009,储能3模块端口BC线电压,ES3_Ubc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
117,1300010,储能3模块端口CA线电压,ES3_Uca,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
118,1300011,储能3A相输出电流,ES3_Ia,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
119,1300012,储能3B相输出电流,ES3_Ib,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
120,1300013,储能3C相输出电流,ES3_Ic,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
121,1300014,储能3电网频率,ES3_f,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
122,1300015,储能3A相有功功率,ES3_Pa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
123,1300016,储能3B相有功功率,ES3_Pb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
124,1300017,储能3C相有功功率,ES3_Pc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
125,1300018,储能3A相无功功率,ES3_Qa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
126,1300019,储能3B相无功功率,ES3_Qb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
127,1300020,储能3C相无功功率,ES3_Qc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
128,1300021,储能3A相视在功率,ES3_Sa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
129,1300022,储能3B相视在功率,ES3_Sb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
130,1300023,储能3C相视在功率,ES3_Sc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
131,1300024,储能3A相功率因数,ES3_PFa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
132,1300025,储能3B相功率因数,ES3_PFb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
133,1300026,储能3C相功率因数,ES3_PFc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
134,1300027,储能3三相总有功功率,ES3_P_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
135,1300028,储能3三相总无功功率,ES3_Q_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
136,1300029,储能3三相总视在功率,ES3_S_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
137,1300030,储能3三相总功率因数,ES3_PF_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
138,1300031,储能3有功功率期望值,ES3_P_qiwang,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
139,1300032,储能3无功功率期望值,ES3_Q_qiwang,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
140,1300033,储能3系统充放电状态,ES3_state_chongfangdian,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-静置，1-放电，2-充电
141,1300034,储能3系统总电压,ES3_U_zong,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
142,1300035,储能3系统总电流,ES3_I_zong,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,充电为负值，放电为正值
143,1300036,储能3系统SOC,ES3_SOC,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
144,1300037,储能3系统SOH,ES3_SOH,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
145,1300038,储能3系统最高电池电压,ES3_U_max,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
146,1300039,储能3系统最低电池电压,ES3_U_min,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
147,1300040,储能3系统平均电压,ES3_U_average,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
148,1300041,储能3系统最高电池温度,ES3_T_max,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
149,1300042,储能3系统最低电池温度,ES3_T_min,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
150,1300043,储能3系统平均温度,ES3_T_average,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
151,1300044,储能3Rack电池总电压,ES3_U_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
152,1300045,储能3Rack电池总电流,ES3_I_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
153,1300046,储能3Rack充放电指示,ES3_state_rack,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-静置，1-放电，2-充电
154,1300047,储能3Rack SOC,ES3_SOC_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
155,1300048,储能3Rack SOH,ES3_SOH_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
156,1300049,储能3手动模式ctrl,ES3_ctrl,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-关机，1-开机
157,1300050,储能3手动模式workModel,ES3_workModel,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-离网模式，1-并网模式
158,1300051,储能3手动模式activePower,ES3_activePower,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,有功功率设置，单位：kW
159,1300052,储能3手动模式reactivePower,ES3_reactivePower,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,无功功率设置，单位：kVar
160,1400000,储能4_通道状态,ES4_tongxin_state,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
161,1400001,储能4故障综合,ES4_guzhang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-故障，0-正常
162,1400002,储能4告警综合,ES4_gaojing,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-故障，1-正常
163,1400003,储能4启停状态,ES4_state_qiting,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
164,1400004,储能4并网状态,ES4_state_bingwang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
165,1400005,储能4离网状态,ES4_state_liwang,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
166,1400006,储能4DC充电中,ES4_state_charging,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
167,1400007,储能4DC放电中,ES4_state_discharging,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,1-是，0-否
168,1400008,储能4模块端口AB线电压,ES4_Uab,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
169,1400009,储能4模块端口BC线电压,ES4_Ubc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
170,1400010,储能4模块端口CA线电压,ES4_Uca,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
171,1400011,储能4A相输出电流,ES4_Ia,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
172,1400012,储能4B相输出电流,ES4_Ib,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
173,1400013,储能4C相输出电流,ES4_Ic,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
174,1400014,储能4电网频率,ES4_f,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
175,1400015,储能4A相有功功率,ES4_Pa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
176,1400016,储能4B相有功功率,ES4_Pb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
177,1400017,储能4C相有功功率,ES4_Pc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
178,1400018,储能4A相无功功率,ES4_Qa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
179,1400019,储能4B相无功功率,ES4_Qb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
180,1400020,储能4C相无功功率,ES4_Qc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
181,1400021,储能4A相视在功率,ES4_Sa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
182,1400022,储能4B相视在功率,ES4_Sb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
183,1400023,储能4C相视在功率,ES4_Sc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
184,1400024,储能4A相功率因数,ES4_PFa,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
185,1400025,储能4B相功率因数,ES4_PFb,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
186,1400026,储能4C相功率因数,ES4_PFc,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
187,1400027,储能4三相总有功功率,ES4_P_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
188,1400028,储能4三相总无功功率,ES4_Q_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
189,1400029,储能4三相总视在功率,ES4_S_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
190,1400030,储能4三相总功率因数,ES4_PF_all,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
191,1400031,储能4有功功率期望值,ES4_P_qiwang,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
192,1400032,储能4无功功率期望值,ES4_Q_qiwang,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
193,1400033,储能4系统充放电状态,ES4_state_chongfangdian,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-静置，1-放电，2-充电
194,1400034,储能4系统总电压,ES4_U_zong,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
195,1400035,储能4系统总电流,ES4_I_zong,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,充电为负值，放电为正值
196,1400036,储能4系统SOC,ES4_SOC,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
197,1400037,储能4系统SOH,ES4_SOH,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
198,1400038,储能4系统最高电池电压,ES4_U_max,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
199,1400039,储能4系统最低电池电压,ES4_U_min,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
200,1400040,储能4系统平均电压,ES4_U_average,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
201,1400041,储能4系统最高电池温度,ES4_T_max,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
202,1400042,储能4系统最低电池温度,ES4_T_min,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
203,1400043,储能4系统平均温度,ES4_T_average,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
204,1400044,储能4Rack电池总电压,ES4_U_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
205,1400045,储能4Rack电池总电流,ES4_I_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
206,1400046,储能4Rack充放电指示,ES4_state_rack,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-静置，1-放电，2-充电
207,1400047,储能4Rack SOC,ES4_SOC_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
208,1400048,储能4Rack SOH,ES4_SOH_rack,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,
209,1400049,储能4手动模式ctrl,ES4_ctrl,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-关机，1-开机
210,1400050,储能4手动模式workModel,ES4_workModel,TRUE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,0-离网模式，1-并网模式
211,1400051,储能4手动模式activePower,ES4_activePower,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,有功功率设置，单位：kW
212,1400052,储能4手动模式reactivePower,ES4_reactivePower,FALSE,FALSE,,,,,,,,,,,FALSE,FALSE,0,,无功功率设置，单位：kVar
